Código de la transacción,Estatus de la transacción,Fecha de la transacción,Confirmación del pago,Productor(a),Código del producto,Producto,Código del precio,Nombre de este precio,Tasa de conversión (moneda de compra),Moneda de compra,Valor de compra con impuestos,Impuestos locales de compra + Tarifa de pago en cuotas,Valor de compra sin impuestos,Tasa de conversión (moneda en la que recibes los valores),Moneda en la que recibirás los valores,Facturación bruta (sin impuestos),Facturación bruta,Tipo de venta,Faturación neta del Productor(a),Comisión del Afiliado(a),Facturación del(de la) Coproductor(a),Moneda de las tarifas,Tarifa de procesamiento,Tasa de streaming,Otras tarifas,Nombre del Afiliado(a),Canal usado para la venta,Código SRC,Código SCK,Método de pago,Tipo de cobro,Periodicidad,Cantidad total de cuotas,Cantidad de cobros,Fecha de vencimiento (vouchers),Código del cupón,Período de prueba (trial),Cantidad de ítems,Comprador(a),Email del Comprador(a),País,Teléfono,Documento,Código postal,Ciudad,C. Autónoma/Dpto./Estado/Prov.,Dirección,Barrio,Número,Apto./piso/casa,Instagram
TRX000825,Pendiente,2025-04-09,Sí,Tammy Crane,PROD866,Me,PRC5673,Simply,1.0515,USD,292.81,51.83,240.98,1.1581,USD,245.65,301.64,Marketplace,234.92,0.64,7.18,EUR,1.62,0.88,0.75,,Web,SRC-2319,SCK-0170,Tarjeta de crédito,Recurrente,Mensual,11,11,2024-02-23,CUP-6686,21,5,Jeffrey Garcia,kristin93@example.com,Malaysia,704-870-5712x656,41656667-1,44432,Mejiaville,Colorado,07018 Heather Road,Kathy Port,7927,,
TRX000826,Pendiente,2022-07-18,Sí,Rhonda Brock,PROD562,Usually,PRC4500,It,1.1429,CLP,194.08,26.94,167.14,1.1367,USD,168.29,207.75,Marketplace,160.41,4.68,1.27,CLP,3.85,0.73,0.98,,App,SRC-2552,SCK-5761,Transferencia,Único,Único,1,1,2022-04-26,CUP-3359,18,5,Kayla Scott,pittmanrobert@example.net,Jersey,+1-583-404-3422x99785,10133989-3,01759,West Adrianbury,New York,8490 Patricia Canyon Suite 650,Mary Mission,4034,,
TRX000827,Pendiente,2023-03-04,Sí,Patrick Owen,PROD552,Any,PRC5784,Popular,0.9385,CLP,399.57,56.67,342.9,0.9493,USD,350.63,409.25,Online,339.31,5.65,6.82,EUR,1.73,0.05,1.62,Anthony Fleming,App,SRC-7990,SCK-4636,Efectivo,Recurrente,Mensual,12,9,2023-10-18,CUP-1991,17,4,Cheryl Boyd,alyssa83@example.com,Burkina Faso,(896)616-3677x17752,26915489-7,71262,Lake Danaville,Vermont,5277 Michael Turnpike,Morgan Junction,9093,,
TRX000828,Completada,2020-08-20,No,Derek Kirby,PROD108,Nor,PRC4370,Be,0.9093,BRL,2389.26,233.46,2155.8,1.0718,EUR,2160.83,2401.15,Marketplace,2151.27,47.59,28.53,CLP,34.97,8.68,5.76,Tiffany Melton,Web,SRC-8867,SCK-8950,Tarjeta de crédito,Recurrente,Anual,2,4,2021-09-17,CUP-9193,21,2,Amy Mccall,evansgary@example.org,Dominican Republic,898-443-8281x404,47863572-3,54312,South Ruth,Iowa,903 Flores Hill,Sanders Parkway,7314,,@linda32
TRX000829,Cancelada,2024-08-09,Sí,Teresa Williams,PROD470,Whole,PRC4867,Phone,0.8695,USD,147.8,18.39,129.41,1.0741,CLP,134.86,149.0,Marketplace,127.81,0.03,2.35,BRL,2.85,0.72,1.27,Tyler Hughes,Web,SRC-6177,SCK-3079,Transferencia,Recurrente,Mensual,9,10,2026-01-14,CUP-9919,21,1,Tanya Schultz,randy61@example.com,Andorra,+1-895-411-0356x257,10902805-7,99867,Nathanieltown,Arkansas,4156 Frazier Canyon Suite 727,Hamilton Unions,7847,Apto. 16,
TRX000830,Completada,2024-11-06,No,Alison Wilson,PROD815,From,PRC2633,Now,1.1122,BRL,3763.19,642.71,3120.48,1.1653,BRL,3124.76,3776.15,Online,3118.64,5.13,42.43,BRL,19.04,6.73,20.91,Samantha Hoffman,Tienda física,SRC-9053,SCK-7013,Tarjeta de crédito,Recurrente,Anual,3,4,2024-04-13,CUP-6072,0,5,Roy Hernandez,april93@example.org,Denmark,+1-577-456-7794x6685,41484268-9,67123,South Scottfort,South Dakota,5857 Foster Hills Suite 192,Taylor Port,6084,,
TRX000831,Pendiente,2021-08-22,No,Michael Abbott,PROD446,Practice,PRC7381,Relate,1.1291,USD,384.1,69.21,314.89,0.9814,BRL,317.49,390.18,Online,311.26,6.06,1.42,USD,2.48,0.73,1.62,,Redes sociales,SRC-8516,SCK-5228,Transferencia,Único,Único,1,1,2023-06-25,CUP-3511,7,5,Karen Long,victoria14@example.com,Monaco,977.447.6397x1031,77960688-8,88303,Kimport,Washington,50578 Powell Divide,Richard Greens,5807,,@irivera
TRX000832,Cancelada,2024-01-14,No,Patricia Reed,PROD865,Bed,PRC5693,Cause,1.1293,CLP,1618.3,230.5,1387.8,0.8663,USD,1388.05,1622.68,Online,1384.17,6.22,2.95,EUR,10.51,2.88,1.81,,Redes sociales,SRC-1413,SCK-8298,Transferencia,Recurrente,Trimestral,8,7,2023-12-04,CUP-7908,23,2,Monique Guerrero,gedwards@example.net,El Salvador,(760)717-0593x96701,22641246-5,44390,Lake Dominique,West Virginia,787 Samantha Crescent Suite 832,Shelia Falls,14,,@laurenford
TRX000833,Cancelada,2021-01-19,No,Bobby Williams,PROD644,Character,PRC7905,Beautiful,0.8829,BRL,1413.5,238.16,1175.34,0.9048,CLP,1182.05,1416.98,Presencial,1171.59,8.87,6.8,BRL,5.73,1.62,3.39,,Redes sociales,SRC-4980,SCK-0847,Tarjeta de crédito,Recurrente,Trimestral,4,7,2026-01-27,CUP-5557,17,2,Danielle Parks,edwardwhite@example.net,Bangladesh,521.783.6694,98084698-7,27543,New Tina,New Jersey,456 Thomas Rue Apt. 702,Melendez Lock,49,Apto. 2,
TRX000834,Completada,2024-09-04,Sí,Hannah Weaver,PROD898,Possible,PRC2861,She,1.0645,USD,4386.93,719.25,3667.68,0.993,CLP,3669.95,4394.96,Presencial,3659.25,91.86,69.2,EUR,38.31,3.36,1.05,Antonio Ross,Redes sociales,SRC-0947,SCK-8306,Transferencia,Recurrente,Anual,10,2,2021-04-13,CUP-6465,17,4,Kim Knight,rthompson@example.com,Senegal,563-212-8420x9274,98112202-1,45227,East Deannahaven,Minnesota,68405 Larsen Stravenue,Caldwell Expressway,2791,,@tracysmith
TRX000835,Completada,2023-02-12,No,Kathleen Watson,PROD442,Possible,PRC8343,Arm,1.0103,EUR,291.33,27.22,264.11,1.1331,BRL,268.57,302.06,Presencial,258.28,9.89,4.0,BRL,3.31,0.06,0.32,,Web,SRC-0322,SCK-6073,Efectivo,Único,Único,1,1,2022-01-15,CUP-7843,3,3,John Scott,robert31@example.org,Svalbard & Jan Mayen Islands,823.938.5437,30585821-9,55921,Kathleenchester,Ohio,43121 Michael Lakes,Jill Extension,8951,Apto. 27,
TRX000836,Pendiente,2023-11-17,Sí,Joshua Adams,PROD747,Care,PRC6134,Wind,0.9626,USD,5273.66,815.54,4458.12,0.8379,BRL,4459.14,5284.35,Online,4448.72,116.15,51.92,CLP,15.08,5.53,22.92,,Redes sociales,SRC-5706,SCK-7077,Transferencia,Recurrente,Anual,12,7,2024-09-24,CUP-2445,13,5,Roger Harrison,ojones@example.org,Holy See (Vatican City State),001-868-573-1024x26459,94684583-1,02147,East Melodyside,Utah,726 Erin Square Suite 502,Schultz Rest,4999,Apto. 39,@paullopez
TRX000837,Completada,2024-02-28,No,Joshua Gonzales,PROD643,Commercial,PRC3731,Woman,1.0791,CLP,65.52,12.07,53.45,1.1054,CLP,61.98,69.75,Presencial,46.34,6.48,8.87,CLP,2.42,0.49,0.38,,App,SRC-8807,SCK-3664,Tarjeta de crédito,Único,Único,1,1,2023-10-28,CUP-7069,7,2,Lauren Oliver,hartrichard@example.net,Svalbard & Jan Mayen Islands,333-356-2395x021,87000082-2,17255,West Joeburgh,Arizona,560 Kelly Lights,Melinda Crescent,6908,,@linjustin
TRX000838,Cancelada,2024-09-29,No,Robert Summers,PROD867,Watch,PRC5847,Other,0.9486,EUR,1067.85,187.62,880.23,1.0014,EUR,887.12,1068.76,Marketplace,871.88,7.28,20.18,BRL,13.7,2.46,1.41,,Web,SRC-9117,SCK-3906,Transferencia,Recurrente,Trimestral,8,5,2022-10-31,CUP-0688,19,2,Kathryn Murray,lmaxwell@example.com,Yemen,716.203.5024,63270524-1,87144,Franklinview,Wyoming,4686 Owens Trail Suite 691,Martin Parkways,2384,Apto. 21,@alan00
TRX000839,Pendiente,2024-08-12,No,Peter Richmond,PROD988,Everyone,PRC7897,Cut,1.1592,CLP,504.3,85.82,418.48,1.1276,USD,424.06,507.99,Marketplace,409.7,6.29,8.43,USD,2.33,0.04,1.39,Devin Dennis,Tienda física,SRC-0738,SCK-2322,PayPal,Recurrente,Mensual,5,2,2022-05-08,CUP-8337,23,5,Randy Martin,monicaclark@example.org,Ethiopia,301-254-1776x57866,00059118-6,21823,Victorbury,South Carolina,348 Justin Crossroad,Waller Row,4124,,@ostuart
TRX000840,Pendiente,2020-11-11,Sí,Michael Schultz,PROD766,Require,PRC8022,Never,1.0783,EUR,464.56,74.33,390.23,0.9449,BRL,397.95,464.73,Online,385.53,4.0,6.61,EUR,4.62,0.03,1.97,,App,SRC-0087,SCK-5757,Tarjeta de crédito,Recurrente,Mensual,8,8,2022-12-19,CUP-3183,24,2,Kristen Pace,vbrown@example.net,Fiji,746-685-0138x138,18429326-4,42860,Williamsfort,New Hampshire,70106 Lee Cape,Phillips Stream,5385,,@emiller
TRX000841,Completada,2023-04-27,Sí,Andrew Moore,PROD590,Important,PRC4708,Community,1.0826,CLP,48.19,5.58,42.61,1.0825,USD,47.31,67.45,Presencial,33.27,4.53,4.78,USD,3.43,0.65,1.47,,Web,SRC-7756,SCK-9990,Transferencia,Único,Único,1,1,2022-09-09,CUP-0418,13,2,Robert Smith,patrick11@example.net,Tokelau,+1-828-692-1075,35830975-3,26479,Gonzalezview,Pennsylvania,969 Zachary Lodge,Donna Island,3029,,@ngardner
TRX000842,Pendiente,2021-09-06,Sí,Donald Vargas,PROD785,Idea,PRC1504,Would,0.8629,EUR,66.33,10.2,56.13,0.8979,EUR,59.23,79.31,Online,53.45,2.97,9.72,EUR,2.48,0.35,1.79,Michael Thompson,Redes sociales,SRC-6992,SCK-5583,Tarjeta de crédito,Recurrente,Mensual,6,7,2021-02-02,CUP-3580,0,5,Michelle Waters,richard34@example.net,French Guiana,+1-410-988-5348x831,27783407-9,90362,East Shelby,North Carolina,167 Rachel Overpass,Wade Crest,9437,,@perezbradley
TRX000843,Pendiente,2020-09-12,No,Shelby Kim,PROD195,Moment,PRC1914,Foreign,1.0034,USD,374.95,60.66,314.29,0.9542,CLP,316.22,376.25,Marketplace,313.9,3.11,6.36,CLP,0.62,0.2,0.77,,App,SRC-5741,SCK-7918,Transferencia,Recurrente,Mensual,1,11,2022-01-14,CUP-8000,7,4,Adrian Mckenzie,johnbass@example.net,Northern Mariana Islands,(314)589-0401,92158192-7,64991,West Keith,Tennessee,645 Jones Street Suite 689,Nathaniel Spurs,6263,Apto. 46,@jamiesanders
TRX000844,Completada,2022-01-27,Sí,Emily Henson,PROD723,Wonder,PRC1266,Professional,1.1343,USD,1281.36,142.56,1138.8,1.1134,EUR,1141.12,1288.3,Online,1134.96,68.24,11.14,EUR,41.3,10.3,7.06,Ashley Robertson,App,SRC-1929,SCK-0833,Transferencia,Recurrente,Anual,5,7,2025-05-31,CUP-2656,6,3,John Reid,estephens@example.org,Honduras,(869)891-6992x7708,57486597-7,87481,Carolinemouth,New York,3800 Flores Street Suite 823,Kimberly Freeway,8477,,
TRX000845,Cancelada,2024-08-14,No,David Mcdonald,PROD894,Fear,PRC6930,Rock,1.1248,USD,269.46,27.87,241.59,0.9137,USD,246.86,288.6,Presencial,237.23,6.12,7.32,USD,3.0,0.34,0.9,Matthew Thompson,Web,SRC-7886,SCK-5707,PayPal,Recurrente,Mensual,3,9,2022-07-20,CUP-8546,28,5,Patrick Howard,dudleywanda@example.org,Burkina Faso,433-205-8789,22955769-3,07730,South Lisa,Arizona,919 Robert Field Apt. 543,Carter Common,6115,Apto. 39,
TRX000846,Pendiente,2023-03-31,Sí,Steven Gibson DDS,PROD959,Voice,PRC8705,Feeling,0.9619,CLP,5925.3,715.38,5209.92,0.9034,CLP,5218.96,5933.84,Marketplace,5201.18,50.63,39.21,USD,6.24,9.14,19.16,Jennifer Martinez,App,SRC-7249,SCK-8596,Efectivo,Recurrente,Anual,4,5,2022-01-11,CUP-3650,23,5,Danielle Butler,crystalchan@example.com,Korea,(240)389-6287,32156670-1,89225,New Stevenmouth,Delaware,5999 Jennifer Cape,Patrick Path,6586,Apto. 43,
TRX000847,Cancelada,2024-10-05,Sí,Mary Johnson,PROD993,Consider,PRC8098,Bar,1.0337,CLP,816.51,125.04,691.47,1.1385,BRL,696.04,828.1,Online,687.38,3.19,21.01,CLP,1.86,2.28,4.79,Willie Aguilar,Redes sociales,SRC-6050,SCK-3461,Tarjeta de crédito,Recurrente,Trimestral,6,7,2025-06-11,CUP-1734,26,3,William Nolan,rhonda46@example.com,Haiti,351-723-3559x1649,66303633-8,54511,Williammouth,Alaska,4435 Rachel Island,Caleb Port,6863,Apto. 28,@gutierrezjerry
TRX000848,Cancelada,2021-09-23,Sí,James Graham,PROD309,Late,PRC5654,Three,1.0777,EUR,324.49,48.51,275.98,1.0443,BRL,282.84,343.36,Marketplace,272.14,6.62,2.61,EUR,0.58,0.98,1.85,Penny Castillo,Web,SRC-8134,SCK-1452,PayPal,Recurrente,Mensual,7,7,2022-10-18,CUP-4864,18,2,Amy Hoover,michaeljohnson@example.org,Paraguay,635-818-4063x929,51327100-4,81533,Port Geraldview,Wisconsin,470 Barbara Estate,Michael Rest,7938,Apto. 22,@chaneymichele
TRX000849,Completada,2021-08-17,No,Terri Hopkins,PROD134,Television,PRC3130,Such,0.9322,USD,465.79,66.04,399.75,1.0156,BRL,406.78,475.22,Presencial,393.87,9.0,8.02,USD,3.9,0.87,0.6,,Web,SRC-6259,SCK-3286,Efectivo,Recurrente,Mensual,4,9,2023-02-23,CUP-1192,9,5,Veronica Paul,williammanning@example.org,Afghanistan,4626381839,51679177-6,16537,Smithland,Connecticut,92335 John Fords Suite 315,Michael Expressway,4006,Apto. 49,
TRX000850,Completada,2023-12-28,No,Julia Taylor,PROD662,Foreign,PRC7182,Health,1.0404,CLP,382.71,43.84,338.87,1.1867,USD,341.08,392.95,Online,331.67,0.85,7.7,EUR,3.39,0.5,0.74,,Redes sociales,SRC-0409,SCK-4147,Efectivo,Único,Único,1,1,2024-03-31,CUP-1682,16,4,Lisa Thompson,kellyhughes@example.org,Suriname,863-662-9703,73223224-2,57228,South Traci,Oklahoma,8125 Garcia Junctions,Sarah Tunnel,7780,,@ipugh
TRX000851,Pendiente,2021-10-31,No,Adam Scott,PROD865,Fear,PRC5007,Same,0.8931,CLP,39.85,4.56,35.29,1.0697,USD,37.83,48.3,Online,28.49,2.11,5.95,USD,2.17,0.68,0.18,,Web,SRC-1764,SCK-3441,Efectivo,Recurrente,Mensual,4,2,2021-01-28,CUP-7940,9,3,Frank Campos,gregorywright@example.org,Ethiopia,948-934-5199x5508,54728157-0,56591,Thompsontown,Connecticut,20437 Zhang Green Suite 872,Holmes Prairie,5855,Apto. 30,
TRX000852,Cancelada,2025-04-06,No,Gregory Frost,PROD933,Try,PRC9124,Something,0.906,BRL,420.45,79.6,340.85,1.1865,EUR,350.28,428.21,Marketplace,336.41,3.13,0.41,EUR,3.58,0.65,1.88,,Tienda física,SRC-3056,SCK-8208,Transferencia,Único,Único,1,1,2025-07-12,CUP-8207,11,2,Sarah Wheeler,georgejohnson@example.org,Guinea-Bissau,(910)394-2354,30279299-0,22458,Christophertown,Utah,79825 Armstrong Turnpike,Mason Ridge,7310,Apto. 48,
TRX000853,Completada,2023-11-20,Sí,Danielle Lewis,PROD987,Lawyer,PRC8864,Strategy,0.9685,EUR,586.31,104.78,481.53,0.8322,BRL,486.19,595.83,Presencial,475.95,2.81,2.65,USD,1.84,0.08,1.51,,App,SRC-0322,SCK-4080,Tarjeta de crédito,Único,Único,1,1,2025-07-31,CUP-7700,18,1,Raymond Garcia,buchananbrandon@example.com,Mauritius,724-360-8889x59208,51228660-0,75544,Levyport,Oregon,17159 Jimmy Hill Suite 372,Austin Unions,530,,
TRX000854,Pendiente,2023-09-30,Sí,Brian Stewart,PROD637,Parent,PRC6464,Last,1.0619,BRL,368.06,51.14,316.92,0.9462,EUR,324.18,376.03,Online,315.42,89.38,86.68,USD,52.71,1.56,9.88,,Web,SRC-8483,SCK-4329,Tarjeta de crédito,Recurrente,Anual,5,8,2025-02-15,CUP-7867,27,5,Erik Ayers,lisadennis@example.net,Portugal,001-359-395-7194x77007,03533635-9,19971,Lake Sarahburgh,Illinois,51558 Fisher Viaduct Apt. 438,Brown Creek,1290,,
TRX000855,Cancelada,2020-10-02,No,Scott Murillo,PROD953,Budget,PRC6150,Three,1.1974,CLP,7125.68,1186.88,5938.8,1.019,EUR,5939.58,7142.17,Marketplace,5932.8,91.85,60.22,USD,46.44,5.37,22.3,Kelly Mason,Web,SRC-5949,SCK-1926,PayPal,Recurrente,Anual,12,5,2022-09-19,CUP-9517,14,4,James Price,ana43@example.org,Cuba,540.401.9801x106,24432654-9,96713,Christopherhaven,Rhode Island,978 Trevino Circles,George Key,1524,Apto. 33,
TRX000856,Completada,2021-11-09,Sí,Kent Leach,PROD858,Amount,PRC7109,Wait,1.0848,EUR,172.5,24.97,147.53,0.9616,EUR,151.53,184.17,Online,141.02,7.82,3.83,CLP,1.74,0.16,0.47,Cindy Richardson,App,SRC-4893,SCK-0494,Transferencia,Único,Único,1,1,2021-05-18,CUP-0910,13,3,Jennifer Nguyen,morrisonjacqueline@example.org,Vietnam,216.579.2664,07505999-0,86416,Ramirezhaven,Delaware,7109 Scott Lane,Garcia Unions,285,Apto. 21,
TRX000857,Cancelada,2024-06-14,No,Christopher Combs,PROD485,Now,PRC1528,Idea,0.9233,EUR,366.85,51.51,315.34,0.9804,USD,316.01,385.14,Online,314.79,0.67,8.76,CLP,1.64,0.73,1.0,Nathaniel Roberts,Redes sociales,SRC-4558,SCK-3931,PayPal,Único,Único,1,1,2023-06-25,CUP-6654,26,2,Tracey Scott,gmoses@example.org,Seychelles,(988)281-0786x32019,30781762-3,94657,West Matthew,North Dakota,91277 Garcia Lake,Amy Mission,44,Apto. 13,
TRX000858,Completada,2025-06-01,No,Emily Baker,PROD184,Management,PRC9802,Learn,1.1663,BRL,22.44,4.26,18.18,0.9654,BRL,19.84,39.92,Presencial,10.96,7.83,4.81,EUR,0.93,0.09,0.41,Rebecca Smith,App,SRC-4259,SCK-7657,Tarjeta de crédito,Recurrente,Mensual,3,6,2021-08-13,CUP-5445,11,2,Rebecca Alexander,christopher61@example.com,Montserrat,+1-801-440-9054x449,52165389-7,97544,Port Brandi,Utah,6667 Miles Vista,Newman Falls,4384,Apto. 27,
TRX000859,Cancelada,2020-07-02,No,Ashley Davila,PROD451,Full,PRC1948,Medical,1.1235,EUR,225.09,43.95,181.14,1.0824,CLP,188.9,243.8,Online,177.49,1.68,1.19,BRL,1.99,0.81,1.68,,Web,SRC-9970,SCK-6581,Efectivo,Único,Único,1,1,2021-08-04,CUP-2450,11,5,Jessica Hall,marklowe@example.net,Italy,001-580-719-2271x6623,26017726-5,44511,Port Phyllisberg,Nevada,54270 Emily Ville,Jason Rue,2914,,
TRX000860,Completada,2024-04-20,Sí,Mark Brown,PROD645,Compare,PRC2065,Garden,1.1276,BRL,341.61,43.69,297.92,0.8756,USD,303.64,356.85,Marketplace,292.44,7.16,0.41,USD,1.9,0.16,1.38,,Redes sociales,SRC-3046,SCK-7407,Transferencia,Único,Único,1,1,2020-12-22,CUP-5331,26,5,Gina Phillips,marioperry@example.net,Moldova,453.318.4833x649,52964587-1,50073,Leeborough,Virginia,22168 Steven Court,Molly Corner,1665,,
TRX000861,Pendiente,2024-08-03,No,Sherry Cook,PROD471,Might,PRC4207,Everyone,1.1396,CLP,272.5,31.13,241.37,0.9283,CLP,242.24,274.31,Online,234.13,0.88,2.49,CLP,4.14,0.3,0.9,,Web,SRC-1251,SCK-2188,Tarjeta de crédito,Único,Único,1,1,2022-04-01,CUP-3401,28,4,Micheal Watkins,joseph55@example.com,Ukraine,(269)562-5367x11712,45741756-5,81591,East Virginia,Arkansas,42237 Richard Lights,Perez Forge,5908,Apto. 40,
TRX000862,Completada,2023-09-28,Sí,Robert Blanchard,PROD711,Heart,PRC2610,Whom,0.8565,EUR,849.33,148.11,701.22,0.9365,CLP,703.59,863.49,Presencial,693.22,9.77,26.59,EUR,10.74,2.8,5.5,,Web,SRC-1999,SCK-7211,Efectivo,Recurrente,Trimestral,2,12,2021-04-24,CUP-2927,20,4,Alexa Leon,jessicafisher@example.com,Japan,+1-342-201-1731x0109,46005204-9,45119,Roachside,Montana,03895 Thomas Roads Apt. 278,Margaret Falls,1529,,
TRX000863,Completada,2024-02-13,Sí,Gilbert Lewis,PROD803,Food,PRC2371,Executive,1.0531,BRL,100.58,12.16,88.42,0.9423,BRL,89.65,116.58,Online,83.06,4.17,5.03,BRL,4.26,0.57,0.76,Kimberly Mcfarland,App,SRC-7696,SCK-5776,PayPal,Único,Único,1,1,2022-09-13,CUP-3959,18,1,Kristen Garcia,eyoung@example.org,Tunisia,+1-645-934-7491x1608,81822234-4,83647,Joshuaport,Ohio,569 Turner Isle Apt. 421,Ford River,64,Apto. 1,
TRX000864,Cancelada,2024-02-22,No,Casey Robbins,PROD150,Media,PRC4297,Attack,0.8632,CLP,399.65,65.25,334.4,0.8187,BRL,343.87,418.1,Presencial,330.88,1.3,1.33,EUR,3.27,0.74,0.51,Richard Miller,Redes sociales,SRC-3827,SCK-6461,Tarjeta de crédito,Único,Único,1,1,2025-05-05,CUP-2395,19,3,Jacob Bradshaw,paularamsey@example.org,Taiwan,972.206.7730,39934686-2,07168,Cooperborough,Oregon,193 Zachary Spur,William Stravenue,1448,Apto. 19,@nicolecummings
TRX000865,Cancelada,2020-07-01,No,Jonathan Patel,PROD116,Wrong,PRC7227,Fund,0.8176,CLP,215.24,42.96,172.28,0.8694,USD,180.31,232.93,Presencial,172.05,9.3,9.14,CLP,2.38,0.36,0.6,Jack Myers,Redes sociales,SRC-1511,SCK-4627,Efectivo,Único,Único,1,1,2026-03-31,CUP-5662,19,3,Timothy Mccarthy,rhowe@example.com,Turkey,001-624-938-1445x651,53014463-3,71816,Marcport,Michigan,22219 Castro Ford,David Center,683,,@nancy30
TRX000866,Completada,2023-03-14,No,Michelle Johnson,PROD437,Others,PRC6806,Science,0.9726,USD,399.83,78.89,320.94,0.8882,BRL,324.24,411.52,Marketplace,317.02,6.88,2.04,BRL,3.78,0.38,0.85,,App,SRC-2220,SCK-2417,Tarjeta de crédito,Único,Único,1,1,2022-11-08,CUP-9706,12,1,Christina Kelley,nicholasortiz@example.com,Bahamas,+1-700-297-7354x96259,12135530-1,21707,Jeffreyborough,Nevada,6937 Ronald Roads Suite 644,Jason Corners,6828,,
TRX000867,Pendiente,2021-10-08,No,Bryan Harvey,PROD950,Ever,PRC5539,Where,1.0662,BRL,467.03,43.79,423.24,1.161,CLP,424.22,468.79,Marketplace,415.97,1.94,3.82,CLP,1.46,0.02,0.66,,Tienda física,SRC-5720,SCK-5553,PayPal,Único,Único,1,1,2021-08-03,CUP-6855,17,2,Christian Colon,lauren05@example.net,Suriname,560.472.2884,88668980-1,04582,Chenmouth,Wyoming,544 Anthony Extensions,Julie Manors,9332,Apto. 19,@frymiranda
TRX000868,Cancelada,2024-04-03,No,Richard Booker,PROD195,Read,PRC7698,Light,0.9897,CLP,167.58,30.37,137.21,1.128,EUR,146.78,182.2,Marketplace,134.88,4.4,5.61,USD,1.07,0.73,0.99,,Tienda física,SRC-0727,SCK-4200,Efectivo,Único,Único,1,1,2025-09-06,CUP-5029,16,4,Richard Tanner,ohudson@example.net,United States of America,278.781.0485x915,42487840-4,14230,Victorville,Kentucky,887 Briggs Trace,Boone Club,5436,,
TRX000869,Cancelada,2022-01-17,Sí,Lisa Greer,PROD878,Center,PRC2815,Perhaps,1.0108,USD,228.03,37.93,190.1,0.8982,USD,196.74,241.28,Online,181.37,1.59,9.06,BRL,4.54,0.51,0.85,,Redes sociales,SRC-1379,SCK-0168,Efectivo,Único,Único,1,1,2023-08-16,CUP-0476,20,4,Crystal Norman,thomas91@example.com,Bosnia and Herzegovina,592-984-2767x74165,46678563-7,13782,Phillipsfurt,California,68595 Lance Park,Russell Park,8232,Apto. 2,@travis25
TRX000870,Pendiente,2022-06-19,Sí,Nicholas Harris,PROD183,Garden,PRC8824,Begin,0.929,EUR,279.4,34.38,245.02,1.0735,EUR,248.27,285.01,Marketplace,239.27,3.35,0.79,USD,4.66,0.7,0.98,,Redes sociales,SRC-0110,SCK-2883,PayPal,Único,Único,1,1,2024-01-08,CUP-4914,30,1,Bradley Figueroa,drakedeborah@example.com,Lao People's Democratic Republic,281-457-9619x423,12458247-0,67206,Lake Tylershire,Idaho,574 Robert Heights Apt. 542,Shelton Circle,4770,Apto. 34,
TRX000871,Pendiente,2025-03-01,No,Shawn Soto,PROD329,Than,PRC5394,Structure,1.0453,EUR,252.66,32.67,219.99,1.1149,CLP,227.47,255.07,Presencial,218.81,6.17,4.93,BRL,1.9,0.11,0.81,,Redes sociales,SRC-4666,SCK-9207,Transferencia,Único,Único,1,1,2024-04-26,CUP-2972,29,1,Paul Young,cortezalexandra@example.com,Anguilla,263.534.4539x75082,85698028-4,37004,East Shannonborough,Nebraska,684 Rodriguez Wells,Aguirre Mount,9269,Apto. 14,
TRX000872,Cancelada,2023-06-06,Sí,Jesus Miller,PROD276,Easy,PRC5600,War,0.8578,EUR,44.55,4.65,39.9,1.1037,USD,48.27,60.24,Presencial,39.04,7.36,5.76,USD,2.66,0.41,0.1,,Tienda física,SRC-7926,SCK-0608,Efectivo,Único,Único,1,1,2025-03-14,CUP-2382,22,1,Michael Smith,brookeherrera@example.com,Northern Mariana Islands,482.346.5530x9222,28816903-5,70824,Port Tasha,Idaho,27234 Taylor Cliffs,Atkinson Path,1357,,@angelavilla
TRX000873,Pendiente,2023-10-08,No,Joshua Wong,PROD509,Experience,PRC8962,Number,0.8417,EUR,121.71,15.41,106.3,0.9305,EUR,114.69,121.81,Presencial,102.96,2.19,7.48,CLP,2.05,0.59,1.78,Carol Santiago,Redes sociales,SRC-3322,SCK-8466,Efectivo,Único,Único,1,1,2021-05-28,CUP-9971,29,4,Michael Miranda,hgonzalez@example.org,Norway,675.921.4554,22700489-9,65043,Kelseyburgh,Idaho,730 Travis Passage Suite 083,Larsen Vista,2258,,@dustinwilliams
TRX000874,Cancelada,2024-12-13,No,Amy Hopkins DVM,PROD518,Station,PRC8281,Oil,1.0956,USD,1650.65,318.17,1332.48,1.1212,EUR,1335.47,1667.7,Marketplace,1326.75,12.85,82.9,CLP,15.22,1.03,21.15,Mark Gibson,Tienda física,SRC-3667,SCK-5859,Transferencia,Recurrente,Anual,9,4,2023-01-20,CUP-7157,21,4,Courtney Cook,walterporter@example.net,Argentina,(638)994-0569,61927812-0,60979,Mooreside,Arizona,24275 Wilson Mission Apt. 720,Thomas Stream,7439,Apto. 22,
